 ,Area,Mean,Min,Max
1,14,255,255,255
2,42,255,255,255
3,3,255,255,255
4,1,255,255,255
5,20,255,255,255
6,2,255,255,255
7,5,255,255,255
8,5,255,255,255
9,10,255,255,255
10,2,255,255,255
11,9,255,255,255
12,25,255,255,255
13,3,255,255,255
14,506,255,255,255
15,11,255,255,255
16,5,255,255,255
17,7,255,255,255
18,1,255,255,255
19,13,255,255,255
20,23,255,255,255
21,1,255,255,255
22,1,255,255,255
23,4,255,255,255
24,182,255,255,255
25,17,255,255,255
26,45,255,255,255
27,1,255,255,255
28,19,255,255,255
29,1,255,255,255
30,7,255,255,255
31,18,255,255,255
32,14,255,255,255
33,2,255,255,255
34,19,255,255,255
35,5,255,255,255
36,9,255,255,255
37,9,255,255,255
38,3,255,255,255
39,1,255,255,255
40,4,255,255,255
41,219,255,255,255
